Queryid,Rewritten_Query
48," with filtered_store_sales as ( select * from store_sales where ss_sold_date_sk in (select d_date_sk from date_dim where d_year = 2001) and ss_cdemo_sk in ( select cd_demo_sk from customer_demographics where (cd_marital_status = 'S' and cd_education_status = 'Secondary') or (cd_marital_status = 'M' and cd_education_status = '2 yr Degree') or (cd_marital_status = 'D' and cd_education_status = 'Advanced Degree') ) ) select sum(ss_quantity) from filtered_store_sales as store_sales, store, customer_demographics, customer_address, date_dim where s_store_sk = ss_store_sk and ss_sold_date_sk = d_date_sk and d_year = 2001 and ( (cd_demo_sk = ss_cdemo_sk and cd_marital_status = 'S' and cd_education_status = 'Secondary' and ss_sales_price between 100.00 and 150.00) or (cd_demo_sk = ss_cdemo_sk and cd_marital_status = 'M' and cd_education_status = '2 yr Degree' and ss_sales_price between 50.00 and 100.00) or (cd_demo_sk = ss_cdemo_sk and cd_marital_status = 'D' and cd_education_status = 'Advanced Degree' and ss_sales_price between 150.00 and 200.00) ) and ( (ss_addr_sk = ca_address_sk and ca_country = 'United States' and ca_state in ('ND','NY','SD') and ss_net_profit between 0 and 2000) or (ss_addr_sk = ca_address_sk and ca_country = 'United States' and ca_state in ('MD','GA','KS') and ss_net_profit between 150 and 3000) or (ss_addr_sk = ca_address_sk and ca_country = 'United States' and ca_state in ('CO','MN','NC') and ss_net_profit between 50 and 25000) ); "
50," WITH filtered_store_sales AS ( SELECT * FROM store_sales WHERE ss_sold_date_sk IN ( SELECT d1.d_date_sk FROM date_dim d1 WHERE d1.d_year = 2001 ) ), filtered_store_returns AS ( SELECT * FROM store_returns WHERE sr_returned_date_sk IN ( SELECT d2.d_date_sk FROM date_dim d2 WHERE d2.d_year = 2001 ) ) SELECT s_store_name, s_company_id, s_street_number, s_street_name, s_street_type, s_suite_number, s_city, s_county, s_state, s_zip, SUM(CASE WHEN (sr_returned_date_sk - ss_sold_date_sk <= 30) THEN 1 ELSE 0 END) AS ""30 days"", SUM(CASE WHEN (sr_returned_date_sk - ss_sold_date_sk > 30) AND (sr_returned_date_sk - ss_sold_date_sk <= 60) THEN 1 ELSE 0 END) AS ""31-60 days"", SUM(CASE WHEN (sr_returned_date_sk - ss_sold_date_sk > 60) AND (sr_returned_date_sk - ss_sold_date_sk <= 90) THEN 1 ELSE 0 END) AS ""61-90 days"", SUM(CASE WHEN (sr_returned_date_sk - ss_sold_date_sk > 90) AND (sr_returned_date_sk - ss_sold_date_sk <= 120) THEN 1 ELSE 0 END) AS ""91-120 days"", SUM(CASE WHEN (sr_returned_date_sk - ss_sold_date_sk > 120) THEN 1 ELSE 0 END) AS "">120 days"" FROM filtered_store_sales ss JOIN filtered_store_returns sr ON ss.ss_ticket_number = sr.sr_ticket_number AND ss.ss_item_sk = sr.sr_item_sk AND ss.ss_customer_sk = sr.sr_customer_sk JOIN store s ON ss.ss_store_sk = s.s_store_sk JOIN date_dim d1 ON ss.ss_sold_date_sk = d1.d_date_sk JOIN date_dim d2 ON sr.sr_returned_date_sk = d2.d_date_sk WHERE d2.d_year = 2001 AND d2.d_moy = 8 GROUP BY s_store_name, s_company_id, s_street_number, s_street_name, s_street_type, s_suite_number, s_city, s_county, s_state, s_zip ORDER BY s_store_name, s_company_id, s_street_number, s_street_name, s_street_type, s_suite_number, s_city, s_county, s_state, s_zip LIMIT 100; "
51," WITH filtered_web_sales AS ( SELECT * FROM web_sales WHERE ws_sold_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_month_seq BETWEEN 1212 AND 1212+11 ) ), filtered_store_sales AS ( SELECT * FROM store_sales WHERE ss_sold_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_month_seq BETWEEN 1212 AND 1212+11 ) ), web_v1 AS ( SELECT ws_item_sk item_sk, d_date, SUM(SUM(ws_sales_price)) OVER (PARTITION BY ws_item_sk ORDER BY d_date ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) cume_sales FROM filtered_web_sales, date_dim WHERE ws_sold_date_sk = d_date_sk AND d_month_seq BETWEEN 1212 AND 1212+11 AND ws_item_sk IS NOT NULL GROUP BY ws_item_sk, d_date ), store_v1 AS ( SELECT ss_item_sk item_sk, d_date, SUM(SUM(ss_sales_price)) OVER (PARTITION BY ss_item_sk ORDER BY d_date ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) cume_sales FROM filtered_store_sales, date_dim WHERE ss_sold_date_sk = d_date_sk AND d_month_seq BETWEEN 1212 AND 1212+11 AND ss_item_sk IS NOT NULL GROUP BY ss_item_sk, d_date ) SELECT * FROM ( SELECT item_sk, d_date, web_sales, store_sales, MAX(web_sales) OVER (PARTITION BY item_sk ORDER BY d_date ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) web_cumulative, MAX(store_sales) OVER (PARTITION BY item_sk ORDER BY d_date ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) store_cumulative FROM ( SELECT CASE WHEN web.item_sk IS NOT NULL THEN web.item_sk ELSE store.item_sk END item_sk, CASE WHEN web.d_date IS NOT NULL THEN web.d_date ELSE store.d_date END d_date, web.cume_sales web_sales, store.cume_sales store_sales FROM web_v1 web FULL OUTER JOIN store_v1 store ON (web.item_sk = store.item_sk AND web.d_date = store.d_date) ) x ) y WHERE web_cumulative > store_cumulative ORDER BY item_sk, d_date LIMIT 100; "
52," WITH filtered_store_sales AS ( SELECT * FROM store_sales WHERE ss_item_sk IN ( SELECT i_item_sk FROM item WHERE i_manager_id = 1 ) AND ss_sold_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_year = 2000 ) ) SELECT dt.d_year, item.i_brand_id brand_id, item.i_brand brand, SUM(ss_ext_sales_price) ext_price FROM filtered_store_sales, date_dim dt, item WHERE dt.d_date_sk = filtered_store_sales.ss_sold_date_sk AND filtered_store_sales.ss_item_sk = item.i_item_sk AND item.i_manager_id = 1 AND dt.d_moy = 12 AND dt.d_year = 2000 GROUP BY dt.d_year, item.i_brand, item.i_brand_id ORDER BY dt.d_year, ext_price DESC, brand_id LIMIT 100; "
53,"WITH filtered_store_sales AS ( SELECT * FROM store_sales WHERE ss_sold_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_month_seq IN (1186,1186+1,1186+2,1186+3,1186+4,1186+5,1186+6,1186+7,1186+8,1186+9,1186+10,1186+11) ) ) SELECT * FROM ( SELECT i_manufact_id, SUM(ss_sales_price) AS sum_sales, AVG(SUM(ss_sales_price)) OVER (PARTITION BY i_manufact_id) AS avg_quarterly_sales FROM item, filtered_store_sales, date_dim, store WHERE ss_item_sk = i_item_sk AND ss_sold_date_sk = d_date_sk AND ss_store_sk = s_store_sk AND d_month_seq IN (1186,1186+1,1186+2,1186+3,1186+4,1186+5,1186+6,1186+7,1186+8,1186+9,1186+10,1186+11) AND ( (i_category IN ('Books','Children','Electronics') AND i_class IN ('personal','portable','reference','self-help') AND i_brand IN ('scholaramalgamalg #14','scholaramalgamalg #7','exportiunivamalg #9','scholaramalgamalg #9')) OR (i_category IN ('Women','Music','Men') AND i_class IN ('accessories','classical','fragrances','pants') AND i_brand IN ('amalgimporto #1','edu packscholar #1','exportiimporto #1','importoamalg #1')) ) GROUP BY i_manufact_id, d_qoy ) tmp1 WHERE CASE WHEN avg_quarterly_sales > 0 THEN ABS(sum_sales - avg_quarterly_sales) / avg_quarterly_sales ELSE NULL END > 0.1 ORDER BY avg_quarterly_sales, sum_sales, i_manufact_id LIMIT 100; "
55,"with filtered_store_sales as ( select * from store_sales where ss_sold_date_sk in ( select d_date_sk from date_dim where d_year = 2000 ) and ss_item_sk in ( select i_item_sk from item where i_manager_id = 52 ) ) select i_brand_id brand_id, i_brand brand, sum(ss_ext_sales_price) ext_price from date_dim, filtered_store_sales, item where d_date_sk = ss_sold_date_sk and ss_item_sk = i_item_sk and i_manager_id = 52 and d_moy = 11 and d_year = 2000 group by i_brand, i_brand_id order by ext_price desc, i_brand_id limit 100; "
57,"with filtered_catalog_sales as ( select * from catalog_sales where cs_sold_date_sk in ( select d_date_sk from date_dim where d_year = 2001 or (d_year = 2001-1 and d_moy = 12) or (d_year = 2001+1 and d_moy = 1) ) ), v1 as ( select i_category, i_brand, cc_name, d_year, d_moy, sum(cs_sales_price) sum_sales, avg(sum(cs_sales_price)) over (partition by i_category, i_brand, cc_name, d_year) avg_monthly_sales, rank() over (partition by i_category, i_brand, cc_name order by d_year, d_moy) rn from item, filtered_catalog_sales, date_dim, call_center where cs_item_sk = i_item_sk and cs_sold_date_sk = d_date_sk and cc_call_center_sk = cs_call_center_sk and (d_year = 2001 or (d_year = 2001-1 and d_moy = 12) or (d_year = 2001+1 and d_moy = 1)) group by i_category, i_brand, cc_name, d_year, d_moy ), v2 as ( select v1.i_category, v1.i_brand, v1.cc_name, v1.d_year, v1.avg_monthly_sales, v1.sum_sales, v1_lag.sum_sales psum, v1_lead.sum_sales nsum from v1, v1 v1_lag, v1 v1_lead where v1.i_category = v1_lag.i_category and v1.i_category = v1_lead.i_category and v1.i_brand = v1_lag.i_brand and v1.i_brand = v1_lead.i_brand and v1.cc_name = v1_lag.cc_name and v1.cc_name = v1_lead.cc_name and v1.rn = v1_lag.rn + 1 and v1.rn = v1_lead.rn - 1 ) select * from v2 where d_year = 2001 and avg_monthly_sales > 0 and case when avg_monthly_sales > 0 then abs(sum_sales - avg_monthly_sales) / avg_monthly_sales else null end > 0.1 order by sum_sales - avg_monthly_sales, avg_monthly_sales limit 100; "
58,"WITH week_seq AS ( SELECT d_week_seq FROM date_dim WHERE d_date = '1998-11-19' ), filtered_dates AS ( SELECT d_date FROM date_dim WHERE d_week_seq = (SELECT d_week_seq FROM week_seq) ), ss_items AS ( SELECT i_item_id AS item_id, SUM(ss_ext_sales_price) AS ss_item_rev FROM store_sales JOIN item ON ss_item_sk = i_item_sk JOIN date_dim ON ss_sold_date_sk = d_date_sk WHERE d_date IN (SELECT d_date FROM filtered_dates) GROUP BY i_item_id ), cs_items AS ( SELECT i_item_id AS item_id, SUM(cs_ext_sales_price) AS cs_item_rev FROM catalog_sales JOIN item ON cs_item_sk = i_item_sk JOIN date_dim ON cs_sold_date_sk = d_date_sk WHERE d_date IN (SELECT d_date FROM filtered_dates) GROUP BY i_item_id ), ws_items AS ( SELECT i_item_id AS item_id, SUM(ws_ext_sales_price) AS ws_item_rev FROM web_sales JOIN item ON ws_item_sk = i_item_sk JOIN date_dim ON ws_sold_date_sk = d_date_sk WHERE d_date IN (SELECT d_date FROM filtered_dates) GROUP BY i_item_id ) SELECT ss_items.item_id, ss_item_rev, ss_item_rev / ((ss_item_rev + cs_item_rev + ws_item_rev) / 3) * 100 AS ss_dev, cs_item_rev, cs_item_rev / ((ss_item_rev + cs_item_rev + ws_item_rev) / 3) * 100 AS cs_dev, ws_item_rev, ws_item_rev / ((ss_item_rev + cs_item_rev + ws_item_rev) / 3) * 100 AS ws_dev, (ss_item_rev + cs_item_rev + ws_item_rev) / 3 AS average FROM ss_items JOIN cs_items ON ss_items.item_id = cs_items.item_id JOIN ws_items ON ss_items.item_id = ws_items.item_id WHERE ss_item_rev BETWEEN 0.1 * cs_item_rev AND 2 * cs_item_rev AND ss_item_rev BETWEEN 0.1 * ws_item_rev AND 2 * ws_item_rev AND cs_item_rev BETWEEN 0.1 * ss_item_rev AND 2 * ss_item_rev AND cs_item_rev BETWEEN 0.1 * ws_item_rev AND 2 * ws_item_rev AND ws_item_rev BETWEEN 0.1 * ss_item_rev AND 2 * ss_item_rev AND ws_item_rev BETWEEN 0.1 * cs_item_rev AND 2 * cs_item_rev ORDER BY item_id, ss_item_rev LIMIT 100;"
59,"with filtered_store_sales as ( select * from store_sales where ss_sold_date_sk in (select d_date_sk from date_dim where d_date_sk in (select d_date_sk from date_dim where d_month_seq between 1195 and 1195 + 23)) ) , wss as ( select d_week_seq, ss_store_sk, sum(case when (d_day_name = 'Sunday') then ss_sales_price else null end) sun_sales, sum(case when (d_day_name = 'Monday') then ss_sales_price else null end) mon_sales, sum(case when (d_day_name = 'Tuesday') then ss_sales_price else null end) tue_sales, sum(case when (d_day_name = 'Wednesday') then ss_sales_price else null end) wed_sales, sum(case when (d_day_name = 'Thursday') then ss_sales_price else null end) thu_sales, sum(case when (d_day_name = 'Friday') then ss_sales_price else null end) fri_sales, sum(case when (d_day_name = 'Saturday') then ss_sales_price else null end) sat_sales from filtered_store_sales, date_dim where d_date_sk = ss_sold_date_sk group by d_week_seq, ss_store_sk ) select s_store_name1, s_store_id1, d_week_seq1, sun_sales1 / sun_sales2, mon_sales1 / mon_sales2, tue_sales1 / tue_sales2, wed_sales1 / wed_sales2, thu_sales1 / thu_sales2, fri_sales1 / fri_sales2, sat_sales1 / sat_sales2 from ( select s_store_name s_store_name1, wss.d_week_seq d_week_seq1, s_store_id s_store_id1, sun_sales sun_sales1, mon_sales mon_sales1, tue_sales tue_sales1, wed_sales wed_sales1, thu_sales thu_sales1, fri_sales fri_sales1, sat_sales sat_sales1 from wss, store, date_dim d where d.d_week_seq = wss.d_week_seq and ss_store_sk = s_store_sk and d_month_seq between 1195 and 1195 + 11 ) y, ( select s_store_name s_store_name2, wss.d_week_seq d_week_seq2, s_store_id s_store_id2, sun_sales sun_sales2, mon_sales mon_sales2, tue_sales tue_sales2, wed_sales wed_sales2, thu_sales thu_sales2, fri_sales fri_sales2, sat_sales sat_sales2 from wss, store, date_dim d where d.d_week_seq = wss.d_week_seq and ss_store_sk = s_store_sk and d_month_seq between 1195 + 12 and 1195 + 23 ) x where s_store_id1 = s_store_id2 and d_week_seq1 = d_week_seq2 - 52 order by s_store_name1, s_store_id1, d_week_seq1 limit 100; "
61," with sales_data as ( select ss_ext_sales_price, p_channel_dmail, p_channel_email, p_channel_tv from store_sales join store on ss_store_sk = s_store_sk join promotion on ss_promo_sk = p_promo_sk join date_dim on ss_sold_date_sk = d_date_sk join customer on ss_customer_sk = c_customer_sk join customer_address on ca_address_sk = c_current_addr_sk join item on ss_item_sk = i_item_sk where ca_gmt_offset = -5 and i_category = 'Home' and s_gmt_offset = -5 and d_year = 2000 and d_moy = 12 ) select promotions, total, cast(promotions as decimal(15,4)) / cast(total as decimal(15,4)) * 100 as promotion_percentage from (select sum(ss_ext_sales_price) as promotions from sales_data where p_channel_dmail = 'Y' or p_channel_email = 'Y' or p_channel_tv = 'Y') promotional_sales, (select sum(ss_ext_sales_price) as total from sales_data) all_sales order by promotions, total limit 100; "
62," SELECT w.w_warehouse_name, sm.sm_type, ws_site.web_name, SUM(CASE WHEN (ws.ws_ship_date_sk - ws.ws_sold_date_sk <= 30) THEN 1 ELSE 0 END) AS ""30 days"", SUM(CASE WHEN (ws.ws_ship_date_sk - ws.ws_sold_date_sk > 30) AND (ws.ws_ship_date_sk - ws.ws_sold_date_sk <= 60) THEN 1 ELSE 0 END) AS ""31-60 days"", SUM(CASE WHEN (ws.ws_ship_date_sk - ws.ws_sold_date_sk > 60) AND (ws.ws_ship_date_sk - ws.ws_sold_date_sk <= 90) THEN 1 ELSE 0 END) AS ""61-90 days"", SUM(CASE WHEN (ws.ws_ship_date_sk - ws.ws_sold_date_sk > 90) AND (ws.ws_ship_date_sk - ws.ws_sold_date_sk <= 120) THEN 1 ELSE 0 END) AS ""91-120 days"", SUM(CASE WHEN (ws.ws_ship_date_sk - ws.ws_sold_date_sk > 120) THEN 1 ELSE 0 END) AS "">120 days"" FROM web_sales ws JOIN warehouse w ON ws.ws_warehouse_sk = w.w_warehouse_sk JOIN ship_mode sm ON ws.ws_ship_mode_sk = sm.sm_ship_mode_sk JOIN web_site ws_site ON ws.ws_web_site_sk = ws_site.web_site_sk JOIN date_dim dd ON ws.ws_ship_date_sk = dd.d_date_sk WHERE dd.d_month_seq BETWEEN 1223 AND 1234 GROUP BY w.w_warehouse_name, sm.sm_type, ws_site.web_name ORDER BY w.w_warehouse_name, sm.sm_type, ws_site.web_name LIMIT 100; "
63," WITH filtered_store_sales AS ( SELECT * FROM store_sales WHERE ss_sold_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_month_seq IN (1222, 1222+1, 1222+2, 1222+3, 1222+4, 1222+5, 1222+6, 1222+7, 1222+8, 1222+9, 1222+10, 1222+11) ) ) SELECT * FROM ( SELECT i_manager_id, SUM(ss_sales_price) AS sum_sales, AVG(SUM(ss_sales_price)) OVER (PARTITION BY i_manager_id) AS avg_monthly_sales FROM item, filtered_store_sales, date_dim, store WHERE ss_item_sk = i_item_sk AND ss_sold_date_sk = d_date_sk AND ss_store_sk = s_store_sk AND d_month_seq IN (1222, 1222+1, 1222+2, 1222+3, 1222+4, 1222+5, 1222+6, 1222+7, 1222+8, 1222+9, 1222+10, 1222+11) AND ( (i_category IN ('Books', 'Children', 'Electronics') AND i_class IN ('personal', 'portable', 'reference', 'self-help') AND i_brand IN ('scholaramalgamalg #14', 'scholaramalgamalg #7', 'exportiunivamalg #9', 'scholaramalgamalg #9')) OR (i_category IN ('Women', 'Music', 'Men') AND i_class IN ('accessories', 'classical', 'fragrances', 'pants') AND i_brand IN ('amalgimporto #1', 'edu packscholar #1', 'exportiimporto #1', 'importoamalg #1')) ) GROUP BY i_manager_id, d_moy ) tmp1 WHERE CASE WHEN avg_monthly_sales > 0 THEN ABS(sum_sales - avg_monthly_sales) / avg_monthly_sales ELSE NULL END > 0.1 ORDER BY i_manager_id, avg_monthly_sales, sum_sales LIMIT 100; "
65," with sales_aggregate as ( select ss_store_sk, ss_item_sk, sum(ss_sales_price) as revenue from store_sales, date_dim where ss_sold_date_sk = d_date_sk and d_month_seq between 1176 and 1176+11 group by ss_store_sk, ss_item_sk ), average_revenue as ( select ss_store_sk, avg(revenue) as ave from sales_aggregate group by ss_store_sk ) select s_store_name, i_item_desc, sc.revenue, i_current_price, i_wholesale_cost, i_brand from store, item, average_revenue sb, sales_aggregate sc where sb.ss_store_sk = sc.ss_store_sk and sc.revenue <= 0.1 * sb.ave and s_store_sk = sc.ss_store_sk and i_item_sk = sc.ss_item_sk order by s_store_name, i_item_desc limit 100; "
66,"with filtered_web_sales as ( select * from web_sales where ws_sold_date_sk in (select d_date_sk from date_dim where d_year = 2001) ), filtered_catalog_sales as ( select * from catalog_sales where cs_sold_date_sk in (select d_date_sk from date_dim where d_year = 2001) ) select w_warehouse_name, w_warehouse_sq_ft, w_city, w_county, w_state, w_country, ship_carriers, year, sum(jan_sales) as jan_sales, sum(feb_sales) as feb_sales, sum(mar_sales) as mar_sales, sum(apr_sales) as apr_sales, sum(may_sales) as may_sales, sum(jun_sales) as jun_sales, sum(jul_sales) as jul_sales, sum(aug_sales) as aug_sales, sum(sep_sales) as sep_sales, sum(oct_sales) as oct_sales, sum(nov_sales) as nov_sales, sum(dec_sales) as dec_sales, sum(jan_sales/w_warehouse_sq_ft) as jan_sales_per_sq_foot, sum(feb_sales/w_warehouse_sq_ft) as feb_sales_per_sq_foot, sum(mar_sales/w_warehouse_sq_ft) as mar_sales_per_sq_foot, sum(apr_sales/w_warehouse_sq_ft) as apr_sales_per_sq_foot, sum(may_sales/w_warehouse_sq_ft) as may_sales_per_sq_foot, sum(jun_sales/w_warehouse_sq_ft) as jun_sales_per_sq_foot, sum(jul_sales/w_warehouse_sq_ft) as jul_sales_per_sq_foot, sum(aug_sales/w_warehouse_sq_ft) as aug_sales_per_sq_foot, sum(sep_sales/w_warehouse_sq_ft) as sep_sales_per_sq_foot, sum(oct_sales/w_warehouse_sq_ft) as oct_sales_per_sq_foot, sum(nov_sales/w_warehouse_sq_ft) as nov_sales_per_sq_foot, sum(dec_sales/w_warehouse_sq_ft) as dec_sales_per_sq_foot, sum(jan_net) as jan_net, sum(feb_net) as feb_net, sum(mar_net) as mar_net, sum(apr_net) as apr_net, sum(may_net) as may_net, sum(jun_net) as jun_net, sum(jul_net) as jul_net, sum(aug_net) as aug_net, sum(sep_net) as sep_net, sum(oct_net) as oct_net, sum(nov_net) as nov_net, sum(dec_net) as dec_net from ( select w_warehouse_name, w_warehouse_sq_ft, w_city, w_county, w_state, w_country, 'ORIENTAL' || ',' || 'BOXBUNDLES' as ship_carriers, d_year as year, sum(case when d_moy = 1 then ws_ext_sales_price * ws_quantity else 0 end) as jan_sales, sum(case when d_moy = 2 then ws_ext_sales_price * ws_quantity else 0 end) as feb_sales, sum(case when d_moy = 3 then ws_ext_sales_price * ws_quantity else 0 end) as mar_sales, sum(case when d_moy = 4 then ws_ext_sales_price * ws_quantity else 0 end) as apr_sales, sum(case when d_moy = 5 then ws_ext_sales_price * ws_quantity else 0 end) as may_sales, sum(case when d_moy = 6 then ws_ext_sales_price * ws_quantity else 0 end) as jun_sales, sum(case when d_moy = 7 then ws_ext_sales_price * ws_quantity else 0 end) as jul_sales, sum(case when d_moy = 8 then ws_ext_sales_price * ws_quantity else 0 end) as aug_sales, sum(case when d_moy = 9 then ws_ext_sales_price * ws_quantity else 0 end) as sep_sales, sum(case when d_moy = 10 then ws_ext_sales_price * ws_quantity else 0 end) as oct_sales, sum(case when d_moy = 11 then ws_ext_sales_price * ws_quantity else 0 end) as nov_sales, sum(case when d_moy = 12 then ws_ext_sales_price * ws_quantity else 0 end) as dec_sales, sum(case when d_moy = 1 then ws_net_paid_inc_ship * ws_quantity else 0 end) as jan_net, sum(case when d_moy = 2 then ws_net_paid_inc_ship * ws_quantity else 0 end) as feb_net, sum(case when d_moy = 3 then ws_net_paid_inc_ship * ws_quantity else 0 end) as mar_net, sum(case when d_moy = 4 then ws_net_paid_inc_ship * ws_quantity else 0 end) as apr_net, sum(case when d_moy = 5 then ws_net_paid_inc_ship * ws_quantity else 0 end) as may_net, sum(case when d_moy = 6 then ws_net_paid_inc_ship * ws_quantity else 0 end) as jun_net, sum(case when d_moy = 7 then ws_net_paid_inc_ship * ws_quantity else 0 end) as jul_net, sum(case when d_moy = 8 then ws_net_paid_inc_ship * ws_quantity else 0 end) as aug_net, sum(case when d_moy = 9 then ws_net_paid_inc_ship * ws_quantity else 0 end) as sep_net, sum(case when d_moy = 10 then ws_net_paid_inc_ship * ws_quantity else 0 end) as oct_net, sum(case when d_moy = 11 then ws_net_paid_inc_ship * ws_quantity else 0 end) as nov_net, sum(case when d_moy = 12 then ws_net_paid_inc_ship * ws_quantity else 0 end) as dec_net from filtered_web_sales, warehouse, date_dim, time_dim, ship_mode where ws_warehouse_sk = w_warehouse_sk and ws_sold_date_sk = d_date_sk and ws_sold_time_sk = t_time_sk and ws_ship_mode_sk = sm_ship_mode_sk and d_year = 2001 and t_time between 42970 and 42970 + 28800 and sm_carrier in ('ORIENTAL', 'BOXBUNDLES') group by w_warehouse_name, w_warehouse_sq_ft, w_city, w_county, w_state, w_country, d_year union all select w_warehouse_name, w_warehouse_sq_ft, w_city, w_county, w_state, w_country, 'ORIENTAL' || ',' || 'BOXBUNDLES' as ship_carriers, d_year as year, sum(case when d_moy = 1 then cs_ext_list_price * cs_quantity else 0 end) as jan_sales, sum(case when d_moy = 2 then cs_ext_list_price * cs_quantity else 0 end) as feb_sales, sum(case when d_moy = 3 then cs_ext_list_price * cs_quantity else 0 end) as mar_sales, sum(case when d_moy = 4 then cs_ext_list_price * cs_quantity else 0 end) as apr_sales, sum(case when d_moy = 5 then cs_ext_list_price * cs_quantity else 0 end) as may_sales, sum(case when d_moy = 6 then cs_ext_list_price * cs_quantity else 0 end) as jun_sales, sum(case when d_moy = 7 then cs_ext_list_price * cs_quantity else 0 end) as jul_sales, sum(case when d_moy = 8 then cs_ext_list_price * cs_quantity else 0 end) as aug_sales, sum(case when d_moy = 9 then cs_ext_list_price * cs_quantity else 0 end) as sep_sales, sum(case when d_moy = 10 then cs_ext_list_price * cs_quantity else 0 end) as oct_sales, sum(case when d_moy = 11 then cs_ext_list_price * cs_quantity else 0 end) as nov_sales, sum(case when d_moy = 12 then cs_ext_list_price * cs_quantity else 0 end) as dec_sales, sum(case when d_moy = 1 then cs_net_paid * cs_quantity else 0 end) as jan_net, sum(case when d_moy = 2 then cs_net_paid * cs_quantity else 0 end) as feb_net, sum(case when d_moy = 3 then cs_net_paid * cs_quantity else 0 end) as mar_net, sum(case when d_moy = 4 then cs_net_paid * cs_quantity else 0 end) as apr_net, sum(case when d_moy = 5 then cs_net_paid * cs_quantity else 0 end) as may_net, sum(case when d_moy = 6 then cs_net_paid * cs_quantity else 0 end) as jun_net, sum(case when d_moy = 7 then cs_net_paid * cs_quantity else 0 end) as jul_net, sum(case when d_moy = 8 then cs_net_paid * cs_quantity else 0 end) as aug_net, sum(case when d_moy = 9 then cs_net_paid * cs_quantity else 0 end) as sep_net, sum(case when d_moy = 10 then cs_net_paid * cs_quantity else 0 end) as oct_net, sum(case when d_moy = 11 then cs_net_paid * cs_quantity else 0 end) as nov_net, sum(case when d_moy = 12 then cs_net_paid * cs_quantity else 0 end) as dec_net from filtered_catalog_sales, warehouse, date_dim, time_dim, ship_mode where cs_warehouse_sk = w_warehouse_sk and cs_sold_date_sk = d_date_sk and cs_sold_time_sk = t_time_sk and cs_ship_mode_sk = sm_ship_mode_sk and d_year = 2001 and t_time between 42970 and 42970 + 28800 and sm_carrier in ('ORIENTAL', 'BOXBUNDLES') group by w_warehouse_name, w_warehouse_sq_ft, w_city, w_county, w_state, w_country, d_year ) x group by w_warehouse_name, w_warehouse_sq_ft, w_city, w_county, w_state, w_country, ship_carriers, year order by w_warehouse_name limit 100;"
67," with filtered_store_sales as ( select * from store_sales where ss_sold_date_sk in ( select d_date_sk from date_dim where d_month_seq between 1217 and 1217 + 11 ) ) select * from ( select i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy, s_store_id, sumsales, rank() over (partition by i_category order by sumsales desc) rk from ( select i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy, s_store_id, sum(coalesce(ss_sales_price * ss_quantity, 0)) sumsales from filtered_store_sales, date_dim, store, item where ss_sold_date_sk = d_date_sk and ss_item_sk = i_item_sk and ss_store_sk = s_store_sk and d_month_seq between 1217 and 1217 + 11 group by rollup(i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy, s_store_id) ) dw1 ) dw2 where rk <= 100 order by i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy, s_store_id, sumsales, rk limit 100; "
68,"WITH filtered_store_sales AS ( SELECT * FROM store_sales WHERE ss_sold_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_year IN (1998, 1999, 2000) ) ) SELECT c_last_name, c_first_name, ca_city, bought_city, ss_ticket_number, extended_price, extended_tax, list_price FROM ( SELECT ss_ticket_number, ss_customer_sk, ca_city bought_city, SUM(ss_ext_sales_price) extended_price, SUM(ss_ext_list_price) list_price, SUM(ss_ext_tax) extended_tax FROM filtered_store_sales, date_dim, store, household_demographics, customer_address WHERE filtered_store_sales.ss_sold_date_sk = date_dim.d_date_sk AND filtered_store_sales.ss_store_sk = store.s_store_sk AND filtered_store_sales.ss_hdemo_sk = household_demographics.hd_demo_sk AND filtered_store_sales.ss_addr_sk = customer_address.ca_address_sk AND date_dim.d_dom BETWEEN 1 AND 2 AND (household_demographics.hd_dep_count = 3 OR household_demographics.hd_vehicle_count = 4) AND date_dim.d_year IN (1998, 1999, 2000) AND store.s_city IN ('Fairview', 'Midway') GROUP BY ss_ticket_number, ss_customer_sk, ss_addr_sk, ca_city ) dn, customer, customer_address current_addr WHERE ss_customer_sk = c_customer_sk AND customer.c_current_addr_sk = current_addr.ca_address_sk AND current_addr.ca_city <> bought_city ORDER BY c_last_name, ss_ticket_number LIMIT 100; "
